Local time,Open,High,Low,Close,Volume
01.08.2023 00:00:00.000 GMT+0200,1.09966,1.09975,1.09960,1.09972,81
01.08.2023 00:01:00.000 GMT+0200,1.09973,1.09973,1.09973,1.09973,0.9
01.08.2023 00:02:00.000 GMT+0200,1.09974,1.09981,1.09974,1.09981,32.4
01.08.2023 00:03:00.000 GMT+0200,1.09982,1.09987,1.09982,1.09986,7.2
01.08.2023 00:04:00.000 GMT+0200,1.09987,1.09993,1.09987,1.09992,8.1
01.08.2023 00:05:00.000 GMT+0200,1.09991,1.10000,1.09991,1.09999,16.65
01.08.2023 00:06:00.000 GMT+0200,1.09999,1.09999,1.09999,1.09999,18
01.08.2023 00:07:00.000 GMT+0200,1.09999,1.09999,1.09994,1.09995,41.85
01.08.2023 00:08:00.000 GMT+0200,1.09995,1.09995,1.09992,1.09992,28.8
01.08.2023 00:09:00.000 GMT+0200,1.09993,1.09994,1.09992,1.09994,13.5
01.08.2023 00:10:00.000 GMT+0200,1.09995,1.09995,1.09994,1.09994,9
01.08.2023 00:11:00.000 GMT+0200,1.09992,1.09992,1.09984,1.09985,87.75
01.08.2023 00:12:00.000 GMT+0200,1.09986,1.09993,1.09984,1.09993,40.95
01.08.2023 00:13:00.000 GMT+0200,1.09992,1.09998,1.09991,1.09998,24.3
01.08.2023 00:14:00.000 GMT+0200,1.09998,1.10005,1.09998,1.10003,69.75
01.08.2023 00:15:00.000 GMT+0200,1.10005,1.10011,1.10000,1.10011,62.1
01.08.2023 00:16:00.000 GMT+0200,1.10010,1.10014,1.10006,1.10014,59.4
01.08.2023 00:17:00.000 GMT+0200,1.10015,1.10019,1.10014,1.10019,28.8
01.08.2023 00:18:00.000 GMT+0200,1.10017,1.10019,1.10009,1.10014,81.45
01.08.2023 00:19:00.000 GMT+0200,1.10014,1.10020,1.10014,1.10019,38.7
01.08.2023 00:20:00.000 GMT+0200,1.10020,1.10020,1.10017,1.10018,30.6
01.08.2023 00:21:00.000 GMT+0200,1.10018,1.10023,1.10018,1.10022,30.6
01.08.2023 00:22:00.000 GMT+0200,1.10023,1.10024,1.10021,1.10022,36
01.08.2023 00:23:00.000 GMT+0200,1.10021,1.10028,1.10020,1.10028,32.4
01.08.2023 00:24:00.000 GMT+0200,1.10027,1.10027,1.10021,1.10022,27.9
01.08.2023 00:25:00.000 GMT+0200,1.10023,1.10024,1.10017,1.10020,53.05
01.08.2023 00:26:00.000 GMT+0200,1.10021,1.10021,1.10020,1.10021,6.3
01.08.2023 00:27:00.000 GMT+0200,1.10020,1.10021,1.10009,1.10009,42.7
01.08.2023 00:28:00.000 GMT+0200,1.10009,1.10012,1.10006,1.10010,43.2
01.08.2023 00:29:00.000 GMT+0200,1.10009,1.10016,1.10009,1.10015,20.7
01.08.2023 00:30:00.000 GMT+0200,1.10015,1.10015,1.10010,1.10010,48.1
01.08.2023 00:31:00.000 GMT+0200,1.10012,1.10012,1.10011,1.10011,18.9
01.08.2023 00:32:00.000 GMT+0200,1.10010,1.10010,1.10007,1.10009,34.85
01.08.2023 00:33:00.000 GMT+0200,1.10010,1.10013,1.10009,1.10012,65.79
01.08.2023 00:34:00.000 GMT+0200,1.10011,1.10012,1.10007,1.10008,55.02
01.08.2023 00:35:00.000 GMT+0200,1.10007,1.10010,1.10006,1.10009,58.59
01.08.2023 00:36:00.000 GMT+0200,1.10010,1.10010,1.10009,1.10009,12.69
01.08.2023 00:37:00.000 GMT+0200,1.10009,1.10010,1.10009,1.10009,17.1
01.08.2023 00:38:00.000 GMT+0200,1.10009,1.10010,1.10004,1.10007,71.28
01.08.2023 00:39:00.000 GMT+0200,1.10006,1.10007,1.10005,1.10005,67.8
01.08.2023 00:40:00.000 GMT+0200,1.10006,1.10011,1.10004,1.10011,136.47
01.08.2023 00:41:00.000 GMT+0200,1.10012,1.10012,1.10008,1.10009,109.08
01.08.2023 00:42:00.000 GMT+0200,1.10010,1.10014,1.10008,1.10009,89.4
01.08.2023 00:43:00.000 GMT+0200,1.10008,1.10014,1.10008,1.10014,69.15
01.08.2023 00:44:00.000 GMT+0200,1.10010,1.10011,1.10008,1.10010,42.05
01.08.2023 00:45:00.000 GMT+0200,1.10011,1.10011,1.10011,1.10011,0.9
01.08.2023 00:46:00.000 GMT+0200,1.10012,1.10013,1.10011,1.10011,9
01.08.2023 00:47:00.000 GMT+0200,1.10012,1.10012,1.10011,1.10011,9
01.08.2023 00:48:00.000 GMT+0200,1.10011,1.10011,1.10011,1.10011,0
01.08.2023 00:49:00.000 GMT+0200,1.10010,1.10010,1.10010,1.10010,0.9
01.08.2023 00:50:00.000 GMT+0200,1.10009,1.10009,1.10008,1.10008,9
01.08.2023 00:51:00.000 GMT+0200,1.10009,1.10012,1.10008,1.10008,24.3
01.08.2023 00:52:00.000 GMT+0200,1.10009,1.10009,1.10008,1.10008,25.2
